,國文檢定_code,英文檢定_code,數學檢定_code,社會檢定_code,自然檢定_code,國文倍率,英文倍率,數學倍率,社會倍率,自然倍率,tsnepos1,tsnepos2,學校名稱_code,學校名稱_encoded,學系名稱_trim,學系代碼,國文採計,英文採計,數學採計,社會採計,自然採計,自設科目組合_code,自設科目組合倍率,unitier,預定甄試人數,甄試費用,口試佔比,書審佔比,cluster
289,50,50,50,0,0,6.0,5.000000000000001,3.0,29.999999999999996,29.999999999999996,15.42981,12.756217,10,國立清華大學,藝術學院學士班,011532,0.0,0.0,0.0,0.0,0.0,24,0.0,1,48,1100,0.35,0.35,4
312,0,0,0,0,0,29.999999999999996,29.999999999999996,29.999999999999996,29.999999999999996,29.999999999999996,-14.873271,-17.756838,10,國立清華大學,藝術與設計學系創作組,011562,0.0,0.0,0.0,0.0,0.0,24,0.0,1,75,1300,0.4,0.2,7
326,0,0,0,0,0,29.999999999999996,29.999999999999996,29.999999999999996,29.999999999999996,29.999999999999996,-16.7001,-16.833742,10,國立清華大學,音樂學系,011552,0.0,0.0,0.0,0.0,0.0,24,0.0,3,585,200,0.0,0.0,7
344,50,50,50,0,0,6.0,4.0,4.0,29.999999999999996,29.999999999999996,15.870414,12.736852,10,國立清華大學,運動科學系,011542,0.0,0.0,0.0,0.0,0.0,24,0.0,2,44,1100,0.3,0.25,4
106,0,75,75,0,75,29.999999999999996,10.0,3.0,29.999999999999996,3.0,17.107138,-18.368969,10,國立清華大學,理學院學士班,011222,0.0,0.0,0.0,0.0,0.0,24,0.0,2,66,1100,0.0,0.35,1
30,75,75,75,0,0,29.999999999999996,29.999999999999996,29.999999999999996,29.999999999999996,29.999999999999996,6.906417,2.5100422,10,國立清華大學,清華學院學士班丁組(不分系招生-創新領導),011462,0.0,0.0,0.0,0.0,0.0,5,5.0,1,30,1100,0.5,0.5,4
149,50,75,50,0,50,29.999999999999996,5.000000000000001,29.999999999999996,29.999999999999996,29.999999999999996,7.967441,-4.2368417,10,國立清華大學,清華學院學士班丙組(不分系招生-創新設計),011452,0.0,0.0,0.0,0.0,0.0,8,6.0,1,30,1300,0.4,0.3,4
281,50,50,50,0,0,29.999999999999996,29.999999999999996,29.999999999999996,29.999999999999996,29.999999999999996,6.177151,1.1428348,10,國立清華大學,旭日招生乙組(科管),011492,0.0,0.0,0.0,0.0,0.0,5,4.0,1,16,1100,0.5,0.5,4
303,0,75,75,0,75,29.999999999999996,5.000000000000001,3.0,29.999999999999996,29.999999999999996,15.262156,-22.12867,10,國立清華大學,生命科學系,011402,0.0,0.0,0.0,0.0,0.0,24,0.0,1,87,1300,0.1,0.4,1
308,75,75,75,0,75,29.999999999999996,29.999999999999996,29.999999999999996,29.999999999999996,29.999999999999996,8.792991,-6.019305,10,國立清華大學,清華學院學士班戊組(青年儲蓄帳戶組),011472,0.0,0.0,0.0,0.0,0.0,24,0.0,1,50,1100,0.4,0.6,4
189,75,75,75,0,88,29.999999999999996,29.999999999999996,29.999999999999996,29.999999999999996,29.999999999999996,9.0288725,-6.0136194,10,國立清華大學,生命科學院學士班,011422,0.0,3.0,3.0,0.0,3.0,4,3.0,1,66,1100,0.1,0.4,4
224,0,75,75,0,75,29.999999999999996,5.000000000000001,4.0,29.999999999999996,3.0,17.39958,-18.713034,10,國立清華大學,化學系,011212,0.0,0.0,0.0,0.0,0.0,24,0.0,1,54,1300,0.15,0.2,1
290,0,75,75,0,75,29.999999999999996,3.0,3.0,29.999999999999996,3.0,17.74725,-18.653128,10,國立清華大學,生醫工程與環境科學系,011232,0.0,0.0,0.0,0.0,0.0,24,0.0,1,84,1100,0.1,0.4,1
25,75,88,50,50,0,29.999999999999996,6.0,29.999999999999996,29.999999999999996,29.999999999999996,-19.625507,5.623122,10,國立清華大學,英語教學系(公費生),011102,0.0,0.0,0.0,0.0,0.0,24,0.0,1,6,1100,0.4,0.2,2
57,75,75,75,0,0,3.0,3.0,3.0,29.999999999999996,29.999999999999996,11.140963,14.006723,10,國立清華大學,經濟學系,011132,0.0,0.0,0.0,0.0,0.0,24,0.0,2,141,1100,0.1,0.4,4
110,50,75,75,0,0,29.999999999999996,29.999999999999996,4.0,29.999999999999996,10.0,17.177818,5.686904,10,國立清華大學,物理學系物理組(乙組天文物理組),011192,0.0,0.0,0.0,0.0,0.0,24,0.0,2,20,1000,0.0,0.35,4
135,50,75,75,0,0,29.999999999999996,29.999999999999996,4.0,29.999999999999996,10.0,17.177818,5.686904,10,國立清華大學,物理學系光電物理組,011202,0.0,0.0,0.0,0.0,0.0,24,0.0,1,36,1000,0.0,0.35,4
205,0,50,88,0,50,29.999999999999996,5.000000000000001,3.0,29.999999999999996,5.000000000000001,19.30353,-21.601793,10,國立清華大學,數學系甲組(數學組),011162,0.0,0.0,0.0,0.0,0.0,24,0.0,3,51,1100,0.0,0.2,1
232,88,88,50,75,0,5.000000000000001,3.0,29.999999999999996,5.000000000000001,29.999999999999996,-17.502996,14.875804,10,國立清華大學,外國語文學系,011032,0.0,0.0,0.0,0.0,0.0,24,0.0,1,75,1000,0.0,0.3,2
